Gmt time,Open,High,Low,Close,Volume
02.03.2021 18:00:00.000,10.23914,10.24118,10.22604,10.23161,3904.8601
02.03.2021 19:00:00.000,10.23161,10.24955,10.22952,10.24224,5209.6802
02.03.2021 20:00:00.000,10.24224,10.24572,10.23432,10.24525,5108.71
02.03.2021 21:00:00.000,10.24534,10.24701,10.23720,10.24144,5368.21
02.03.2021 22:00:00.000,10.23886,10.23886,10.22283,10.22736,276.99
02.03.2021 23:00:00.000,10.22284,10.24332,10.22233,10.24021,5144.4199
03.03.2021 00:00:00.000,10.23904,10.24454,10.23549,10.23774,5858.23
03.03.2021 01:00:00.000,10.23833,10.24204,10.23268,10.23442,8283.9502
03.03.2021 02:00:00.000,10.23442,10.23924,10.23280,10.23694,5327.79
03.03.2021 03:00:00.000,10.23704,10.23870,10.23161,10.23541,4933.3101
03.03.2021 04:00:00.000,10.23542,10.23934,10.23482,10.23729,4010.3701
03.03.2021 05:00:00.000,10.23729,10.24124,10.23584,10.23702,3808.6101
03.03.2021 06:00:00.000,10.23702,10.24094,10.22446,10.22728,2102.8301
03.03.2021 07:00:00.000,10.22755,10.23253,10.21330,10.22964,4777.6001
03.03.2021 08:00:00.000,10.22964,10.24759,10.22256,10.24655,6158.3198
03.03.2021 09:00:00.000,10.24654,10.24843,10.21555,10.21935,6921.3901
03.03.2021 10:00:00.000,10.21935,10.23112,10.20973,10.21417,5670.1099
03.03.2021 11:00:00.000,10.21404,10.24032,10.20749,10.22758,6794.46
03.03.2021 12:00:00.000,10.22781,10.24723,10.22624,10.23720,5112.5601
03.03.2021 13:00:00.000,10.23717,10.26361,10.23715,10.24449,10306.7002
03.03.2021 14:00:00.000,10.24449,10.26394,10.22882,10.23854,11518.2305
03.03.2021 15:00:00.000,10.23870,10.26417,10.23427,10.24232,12348.9102
03.03.2021 16:00:00.000,10.24237,10.25213,10.22784,10.23064,8601
03.03.2021 17:00:00.000,10.23064,10.23844,10.22638,10.23138,6359.4902
03.03.2021 18:00:00.000,10.23138,10.23251,10.21732,10.22817,8264.0898
03.03.2021 19:00:00.000,10.22817,10.24648,10.22716,10.23624,7239.9302
03.03.2021 20:00:00.000,10.23644,10.25197,10.23494,10.24370,5749.8198
03.03.2021 21:00:00.000,10.24351,10.25959,10.24335,10.25454,5717.6099
03.03.2021 22:00:00.000,10.24738,10.24738,10.21508,10.21508,100.59
03.03.2021 23:00:00.000,10.23384,10.26624,10.23383,10.26514,8645.4004
04.03.2021 00:00:00.000,10.26524,10.26794,10.24858,10.25373,8540.3799
04.03.2021 01:00:00.000,10.25385,10.25724,10.24046,10.24412,9092.7402
04.03.2021 02:00:00.000,10.24412,10.25760,10.24316,10.25171,4799.6299
04.03.2021 03:00:00.000,10.25171,10.26000,10.24954,10.25988,4207.6201
04.03.2021 04:00:00.000,10.25981,10.26371,10.25205,10.25300,7996.6699
04.03.2021 05:00:00.000,10.25317,10.25644,10.23803,10.24744,4924.8799
04.03.2021 06:00:00.000,10.24754,10.24964,10.24095,10.24424,3051.4299
04.03.2021 07:00:00.000,10.24419,10.24798,10.21956,10.24214,5883.1401
04.03.2021 08:00:00.000,10.24218,10.24314,10.21124,10.22739,9655.4805
04.03.2021 09:00:00.000,10.22719,10.26166,10.22178,10.25586,8447.0996
04.03.2021 10:00:00.000,10.25586,10.28735,10.25484,10.27544,8079.8901
04.03.2021 11:00:00.000,10.27534,10.28164,10.24048,10.24827,8241.8203
04.03.2021 12:00:00.000,10.24827,10.25694,10.24301,10.25236,6215.4502
04.03.2021 13:00:00.000,10.25226,10.26623,10.22085,10.22142,9051.96
04.03.2021 14:00:00.000,10.22142,10.23767,10.21201,10.22694,11220.6201
04.03.2021 15:00:00.000,10.22694,10.24179,10.18974,10.20149,13844.1504
04.03.2021 16:00:00.000,10.20151,10.20771,10.18635,10.19748,7909.3901
04.03.2021 17:00:00.000,10.19747,10.26417,10.18633,10.25863,15583.3301
04.03.2021 18:00:00.000,10.25869,10.29957,10.23841,10.29696,12626.1504
04.03.2021 19:00:00.000,10.29724,10.29823,10.25347,10.25682,9153.3096
04.03.2021 20:00:00.000,10.25682,10.27767,10.25564,10.26181,13980.6299
04.03.2021 21:00:00.000,10.26194,10.27666,10.21846,10.25638,8805.2695
04.03.2021 22:00:00.000,10.15004,10.25580,10.14899,10.25464,110.91
04.03.2021 23:00:00.000,10.25804,10.28547,10.24384,10.27216,2995.6599
05.03.2021 00:00:00.000,10.27132,10.29325,10.26558,10.28770,2359.8501
05.03.2021 01:00:00.000,10.28795,10.30149,10.28724,10.29578,7112.1699
05.03.2021 02:00:00.000,10.29556,10.30124,10.23673,10.27929,10517.4902
05.03.2021 03:00:00.000,10.27953,10.28382,10.27064,10.27394,9481.1504
05.03.2021 04:00:00.000,10.27394,10.28035,10.26823,10.27772,6563.73
05.03.2021 05:00:00.000,10.27792,10.28401,10.26787,10.26873,4216.9902
05.03.2021 06:00:00.000,10.26873,10.27094,10.26399,10.26508,6055.6099
05.03.2021 07:00:00.000,10.26508,10.27816,10.25691,10.25982,7414.0298
05.03.2021 08:00:00.000,10.25982,10.29261,10.25106,10.27884,13389.0098
05.03.2021 09:00:00.000,10.27884,10.28012,10.24275,10.24644,9246.6904
05.03.2021 10:00:00.000,10.24633,10.25592,10.23454,10.23899,6625.8901
05.03.2021 11:00:00.000,10.23892,10.24094,10.21370,10.21794,8231.8604
05.03.2021 12:00:00.000,10.21813,10.22341,10.19631,10.19932,6268.3999
05.03.2021 13:00:00.000,10.19948,10.23395,10.18310,10.18884,12460.96
